Month,1,2,3,4,5,6,7,8,9,10,11,12
,Berati,Dibra,Durresi,Elbasani,Fieri,Gjirokastra,Korca,Kukesi,Lezha,Shkodra,Tirana,Vlora
Jan,"13,327","9,813","13,205","10,654","14,808","10,037","9,420","9,911","12,148","10,857","12,066","14,239"
Feb,"13,004","11,584","13,523","12,576","14,449","11,848","11,120","11,699","12,441","12,316","13,292","13,894"
Mar,"12,853","13,952","14,347","15,147","14,282","14,270","13,393","14,091","13,199","14,119","14,243","13,733"
Apr,"16,591","15,127","17,604","16,423","18,435","15,472","14,521","15,278","16,195","15,771","16,007","17,726"
May,"17,977","17,192","18,637","18,665","19,975","17,584","16,504","17,363","17,146","17,452","18,555","19,207"
Jun,"20,007","19,225","20,228","20,873","22,231","19,664","18,456","19,417","18,609","19,253","20,538","21,376"
Jul,"21,458","20,704","22,277","22,479","23,843","21,177","19,875","20,911","20,494","20,836","21,595","22,926"
Aug,"22,550","19,815","23,199","21,513","25,056","20,267","19,022","20,013","21,343","20,069","21,896","24,093"
Sep,"21,730","18,838","20,305","20,452","24,145","19,268","18,084","19,026","18,680","18,855","19,854","23,217"
Oct,"18,523","14,189","17,750","15,404","20,582","14,512","13,621","14,330","16,330","14,450","16,564","19,791"
Nov,"16,659","12,161","15,347","13,203","18,510","12,438","11,674","12,282","14,119","12,977","13,604","17,799"
Dec,"14,364","11,566","14,677","12,557","15,960","11,830","11,103","11,681","13,502","12,235","13,250","15,347"
AVG,"17,420","15,347","17,592","16,662","19,356","15,697","14,733","15,500","16,184","15,766","16,789","18,612"
